album,singer,song,lyric,written_by,genre
,Son Of Dave, Ain't Nothin' But The Blues,"Got me walking a tightrope,Got me walking on eggshells,Standing knocking on my door this morning,what you standing there for?,you ever seen this woman before?,sure, she just ran out my back door,babe I feel so sorry for you now,babe ever since you was a baby,ain't nothing but the blues,nothing but the blues,caught me taking a piece of,left me holding the kitty,say it's all your fault,long before I came along,I can tell you where you started going wrong,babe I feel so sorry for you now,babe ever since you was a baby,ain't nothing but the blues,nothing but the blues,ain't my fault!,but deeper than that,nothing but the blues,babe I feel so sorry for you now,babe ever since you was a baby,it ain't nothing but the blues,nothing but the blues,it ain't my fault!,you blaming everybody else!,just take a look at yourself!,nothing but the blues,it's a little deeper than that,take a look at yourself,it ain't my fault!
,
,
",,
,Son Of Dave, Shake a Bone,"There's two things about you I like,The first is the physical sight,The second one is in your mind,Cause when you do what you say & you say what you mean,You do what you say & you say what you mean,You do what you do to me,You shake a bone,Do what you do to me,You shake a bone,Jump up on the bed,Don't do what your mamma said,Stare at with snake eyes,There's two reason that I need,The first is because I believe,The second one's when I see,You always do what you say & you say what you mean,Do what you say & you say what you mean,Do what you do to me,You shake a bone,Do what you do to me,You shake a bone,(Do what you mean),Say what you mean,(Do what you mean),Say what you mean,(Do what) you(do),(What) you do,(What) you do,(What) you do to me,You shake a bone,You shake a bone
,
,
",,
,Son Of Dave, Undertaker,"Oh, baby don't go,Well you better watch out, boy,,You're gonna need an undertaker,Watch yourself,Is everything fine up there in control?,Everything is fine up here in control.,Standing by for ..
,
,
",,
,Jeff Healey, I'm Tore Down,"I'm tore down, I'm almost level with the ground,I'm tore down, I'm almost level with the ground,Well, I feel like this when my baby can't be found,I went to the river to jump in,My baby showed up and said, ""I will tell you when"",Well, I'm tore down, I'm almost level with the ground,Well, I feel like this when my baby can't be found,I love you babe with all my heart and soul,,love like mine will never grow old,Love you in the morning and in the evening too,Every time you leave me I get mad with you,I love you baby with all my might;,love like mine is out of sight,I'll lie for you if you want me to,I really don't believe that your love is true,I'm tore down, I'm almost level with the ground,Well, I'm tore down, I'm almost level with the ground,Well, I feel like this when my baby can't be found
,
,
",,
,Wildbirds & Peacedrums, Keep Some Hope,"The forbidden bridge, biking over in the rain.,The wind will scream, the soprano in deep pain.,Keeping our cool, i can almost see her face.,And wind will go from the high place to the deep bass.,Let me keep some hope, let me keep some hope, let me keep some hope, let mee.,Feel that i'm alive, feel that i'm alive, feel that i'm alive, feel that.,Let me keep some hope, let me keep some hope, let me keep some hope, let mee.,Feel that i'm alive, feel that i'm alive, pretend that i'm alive, feel that.,A young girl, swimming. a soprano lost at sea.,Oh we scurry and scurry and scurry,,And the high pitch is haunting me,,Mm the wind will scream, and i'll go in deep pain, ooooo,And then it will gooo low back to the high again oooo.,Let her keep some hope, let her keep some hope, let her keep some hope, let her,Feel that shes alive, feel that shes alive, feel that shes alive, feel that.,Let us keep some hope let us keep some hope, let us keep some hope, let us.,To feel that we're alive, feel that we're alive, fee; that we're alive, feel that.,Let us keep some hope, let us keep some hope, let us keep some hope, let us.,To feel that we're alive, feel that we're alive, pretend that we're alive, feel that.
,
,
",,
,Wildbirds & Peacedrums, The Course,"Give me a sign, give me a hand,Pull me aside, shake me alive,Push me to reason, make me uneven,To balance up my indifferent mood,I need a prayer, to hold my course,To get a God to give me the force,I gave a big piece of my black heart,I need it back to find a way so,Give me all, give me it,The thing I need to feel complete,There’s nothing more here than it was,I hear the echo of the loss,I feel the teardrop of the unable,There is too many pieces missing,So who am I, am I that kind,Who will surrender and who will not try,Who is not worthy of the price,What is the mankind not to be kind?,Oh just,Give me all, give me it,The thing I need to be complete,So that after the sunrise and the dawn,Something better will come,So that after the sunset and the nightfall,Something better must come,I need a prayer, to hold my course,To get a God to give me the force,I gave a big piece of my black heart,I need it back to find a way so,Who am I, am I that kind,Who will surrender and who will not try,Who is not worthy of the price,What is the mankind not to be kind?,Oh just,Give me all, give me it,The thing I need to be complete,So that after the sunrise and the dawn,Something better will come,So that after the sunset and the nightfall,Something better must come,So that after the sunrise and the dawn,Something better will come,So that after the sunset and the nightfall,Something better must come
,
,
",,
,Wildbirds & Peacedrums, The Lake,"So busted inside,We get heartbreakage,Too many bones will break,Too many heads will ache,Too many tears,We'll make a whole family,And I waited,I waited,I waited,But the words never got to me,Only emptiness did,Like a heart fits,And I looked left,I looked right,I looked down,But my shadow moved by me,Like a thin ghost before me,Only filling the sky,Lake,Was only for the lake to dry,Lake,Was only for the lake to dry,Lake,Was only for the lake to dry,Tell me how it's closer,And tell me more about the picture,And tell me what's on top,Like a head of color
,
,
",,
,Wildbirds & Peacedrums, The Drop,"To make a lover understand the meaning of an end,Letting go of the moment,The strong belief that your heart will mend,Trying to avoid the disappointment,Of suddenly being left all alone,Like waking up in a foreign country,Your language cannot stand by its own,And you're realising Oh God I'm lonely,In the morning light you feel at ease,Like you control your view and your emotion,The softest skin to touch them on the least,Like you could keep her close for now or never,Like the beating of the drum that never stops,The sound of wings made out of paper,Balancing a cloud on a mountain top,Like your hearts been reshaped just for her,Oh is she a passion is too fragile to see,But so strong to feel,To fall right into,And a passion becomes a lifetime disease,When all your fear is shining right through,Like the rolling of the thunder in the sky,When your belief is sinking lower,And the stillness when the moon is high,Is a moment when your hope is over.
,
,
",,
,Wildbirds & Peacedrums, Bleed Like There Was No Other Flood,"Why,Like she's been washed up on shore,A hundred moments too many,When,Like there was no other way,Totally too many,It all,Being too much of,Everything,But not meaning,Anything,Bleed,Like there was no other flood,They burned down all bridges,Left,And needing hope to feel right,It all just pass like glimpses,Of Light,It moves too fast when she's awake,Like she's a turtle and it's a plague
,
,
",,
,Wildbirds & Peacedrums, The Wave,"It's gonna rain when she will meet the dolphin,It's gonna rain when he will meet the whale,Making love at the bottom of the ocean,That way they've been saved,'Cause it will pour down on everyone,It will pour down on everyone,It will pour down on everyone,But I am a believer,I got water to my waist,I am stuck here on an island,I don't blame it on bad luck; it's fate,Just like a wave, rise,And just like a wave, fall,Never ending movement, no,'Cause everything is moving,Love is moving like a wave,Blood is moving like a wave,Hope is moving like a wave,In love and faith,Passion moving like a wave,Sorrow moving like a wave,Hunger moving like a wave,Have faith, have faith,So I am a believer,I got water to my waist,I am stuck here on an island,I don't blame it on bad luck; it's fate,'Cause just like a wave, rise,And just like a wave, fall,It's a never ending movement, no,Like everything is moving,Love is moving like a wave,Blood is moving like a wave,Hope is moving like a wave,In love and faith,Passion moving like a wave,Sorrow moving like a wave,Hunger moving like a wave,Have faith, have faith
,
,
",,
