album,singer,song,lyric,written_by,genre
,Al Green, Lay It Down,"Lay it down, lay it down, lay it down,put your head on the floor,lay it down, lay it down, lay it down,I just met you, just the other day,Everything started flowing my way,I just love you... really I just love you for yourself,I dont want no, no, no no no no nobody else,Hey Lay it down,lay it down, let it go, fall in love,lay it down, let it go, fall in love,lay it down, let it go, fall in love,(One more thang),your love is a wonder to me,I just love you, really, I would really love you for free,All I want to do (all I want to do),I dont want you to change your mind,I love you baby in your time,Hey Lay it down,Lay it down, let it go, fall in love,Lay it down, let it go, fall in love,Lay it down, let it go, fall in love,Lay it down, let it go, fall in love,See I love you, you see, I love you before my self,you're everything I need, everything I need,ooh yeah, ooh yeah,Ever since I started holding your hand,I've never, I've never seen such a smiling man,you made me happy baby,I almost, I almost I wrapped up,When I see you, I want to love you more, and more, and more,Hey Lay it down,Lay it down, let it go, fall in love,Lay it down, let it go, fall in love,Lay it down, let it go, fall in love,Lay it down, let it go, fall in love
,
,
",,
,Al Green, What More Do You Want From Me,"What more do you want from me?,I've just about given you all of me,More than your eyes can see,After all I've done for you,Oh baby, you gave me too, oh,What more do you want from me?,What more do you want from me?,What more do you love about me?,After all you've done for me,I love you, yes sirree, oh,I've tried to do my best, girl yeah,We can stand the test,Oh and forget all about the rest,Good love is more than true,Oh baby, I just guess for me and you, oh,What more do you want from me?,What more do you want from me?,What more do you love about me?,After all you've done for me,I love you, yes sirree, oh,You've won, you've won my heart baby,Where do, where do we start?,What more do you want from my heart?,After all you've done for me, oh baby,I love you, yes sirree, oh,What more do you want from me?,What more do you want from me?,What more do you love about me?,After all you've done for me,I love you, yes sirree, oh,Think about it baby,What more?,Think about it baby,What more?,Think about it baby, oh
,
,
",,
,Al Green, I'm Wild About You,"There's always talk about love,What do you know?,I never talk about love,I just like to show,If there's something wrong,You can tell me, I need to see, oh yeah,I talk my talk and I walk my walk,And just you and me,No doubt, hey, hey,I'm wild about you baby,Girl, I'm wild,I'm wild about you baby,There ain't no doubt, oh Lord,There's always talk about things I,I cannot change, oh Lord,There's always moves about things I,I can't rearrange,I'm wild about you baby,You don't know how I feel,Hey, baby,I'm wild about you baby,You're down in my heart,You're down in my mind,You're down in my soul, yeah,Soul, yeah, I love you so much,I wanna take you in my arms and,Take you in my arms and,Take you in my arms and I, I,Moping down about some things I,I can't remake, oh yeah,I'm standing on the one I can depend on,And there can be no games,I'm wild, ability,I'm wild about you baby, yes sir,I'm wild about you,I'm wild about you baby,I'm wild, I'm wild,I'm wild about you baby,Good God see why,Going wild about you baby,You don't know how I feel
,
,
",,
,Al Green, All I Need,"I wanna tell you one last time, all I need,Dont want no fussin, dont want no cryin,You're everything to me,All I need, all I need, all I need,Let me say you're,All I need, all I need, all I need,Once over and again for the last time,Something very wonderful is on my mind,Can I say it twice?,All I need, all I need, all I need,All I need, all I need, all I need,We can work it out with no delay,We don't have to fight nor take all day,Hear me now, hear what I say,Hear my plea because,All I need, all I need, all I need,I don't need nobody else,All I need, all I need, all I need,All I need, all I need, all I need,All I need, all I need, all I need,All I need, all I need, all I need
,
,
",,
,Al Green, Too Much,"Can I have a kiss?,Can I have a touch?,It's too much baby,I don't wanna hold you back,Your smiling face,Your lips on mine,Your love divine,Oh, its too much baby,Listen, I wanna say,That its too much,Too much for me,Come on now,Oh baby, too much baby,Too much for me,I gotta say, ooh,Your smilin' face,Your lips on mine,Talkin about a love divine,It's too much, oh,Everyday feel like Sunday,And your smile is something I can't fathom,It's just too much, I love you too much, just,I can't keep holdin' you back, it's,Your love is way too much,Baby, I said it's too much,Girl, it's too much, oh hey,I was one step closer,To your arms from mine,I feel your love so divine,It, it, it ,it, it, it, it, its,Just, just, just, just, just, too, too much,Too much for me,I, I want to take you in my arms,Just one more time I'm askin',Give me your love,I don't need no hug,It's too much,Too much for me,Oh, that loves just,It is too much,Oh now, it's too much for me,Baby, it's too much
,
,
",,
,Al Green, No One Like You,"There's no one in life quite like you, you baby,There's no one in life quite like you, you baby,As I sit and wonder baby how you do the things you do, yeah,I know deep down in my heart I never see all the way through,I smile and I'm glad, you're the best thing that I ever had,There's no one in life quite like you, you, I love you baby,No one in life quite like you, you baby,One more thing, smoke stacks signal your love,Coming from my window pane, yeah,All I need from you baby is to take you in my arms again, yeah,One smile from you is all I need to see me through my day,No one in life quite like you, you, I love you baby,There's no one in life quite like you, hold it back there now, you baby,Here we go,One word from you is all I need,One, one, one kiss from you,Oh, will set me free,There's no one in life quite like you, you,You're so unique baby, I can't I can't explain it,No one in life quite like you, oh baby, you baby,There's no one in life quite like you, you,No one in life quite like you baby, you,Like you, like you,Early in the morning, have a smile on your face,Late in the midnight hour, no one can take your place,Even sashay, glass on wine, you're so fine
,
,
",,
,"Al Green,John Legend", Stay with Me (By the Sea),"La la la, la la la,La la la,Stay with me,La la la, la la la,La la la,Stay with me,Stay with me my dear,Walk with me, hold me near,It's not as late as it seems (No, no),So why'd you take your love away from me?,La la la, la la la (la la la),La la la,Stay with me (by the sea),La la la, la la la (oh),La la la,Stay with me,In the morning light,Or the shades of white,You're the only who tries,So why's it mean I'm saying goodbye?,La la la (oh), la la la (stay),La la la,Stay with me (come on and stay),La la la, la la la,La la la,Stay with me,Hold my hand, my dear,Treat me like your my own loving woman (hey hey hey),Am I the only one you see? (ahhhh),So why'd you take your love away from me?,La la la (look at you) La la la (ohhh ohh baby baby baby),La la la,Stay with me (take your love from me),La la la (oooooh come on baby) La la la (by by the sea..),La la la,Stay with me
,
,
",,
,"Al Green,Anthony Hamilton", You've Got The Love I Need,"Whoa, you're beautiful to me,More than my eyes can see,Your hair blowin' in the wind,I don't know why love should end,Stardust in the sky,I either love you or die,I've gotta have you in my life,I really wanna make you my wife,You got the love I need, baby,You got the love I need, baby,You got the love I need, baby,You got the love I need, baby,Oh, my only friend,The only truth I know,Oh, you taught me things about me,I never thought I'd know,Darlin', you been there for me, yeah,Through the strangest of the time,Oh, it must be meant to be,My kind of little love for mine,You got the love I need, baby,You got the love I need, baby,You got the love I need, baby,You got the love I need, baby,Stardust blowin' in the wind,I don't know why love should end,I like lovin' you, so,I'll never, never, never let you go,You got the love I need, baby,You got the love I need, baby,You got the love I need, baby,You got the love I need, baby,You got the love I need, baby,You got the love I need, baby,You got love I need, baby,You got the love I need, baby
,
,
",,
,Al Green, Just For Me,"Your love is just for me, for me, it's just for me,It's just for me for me for me it's just for me,Just stopped by to say that I love you more each day,When you turn around and you knock me down but I love you still,Why can'tchoo tell that I love you by the way that I smile.,Why can'tchoo bring more love to the table you drive me wild.,Your love is just for me, for me I can tell oh for nobody but me yeah,Your love for me, it's for me, I can tell its just for me.,Just stopped by to say we make a love worth living,And by now I think our love is more its more than giving hey hey,Why can'tchoo tell that I love you by the way that I smile.,Why can'tchoo bring more love to the table you drive me wild.,Your love is just for me for oh for nobody but me,Your love for me, it's for me I can tell its just for me,Thinking about you everyday this way,Thinking about you what can I say,Thinking about you takes more from me,Ahhhhhhhhh,Your love is just for me, for me it's just for me,Your love is for me, it's for me, for me I can tell its just for me
,
,
",,
