album,singer,song,lyric,written_by,genre
,Al Green, Back Up Train,"Back up the train,(Back up, train),Turn it around,(Turn around),I`ve got to take my baby,(Got to take my baby),Oh, wherever I`m bound,I`m a lonely man,Just a lonely man,Need a helping hand,Yeah, yeah,Back up the train,(Back up, train),Ease the pain,(Ease the pain),Take me to my baby,(Take me to my baby),I`m going insane,So, mister conductor,(Turn this train around),All you gotta do now,(Turn this train around) ohh,Music in my hand,I`m a lonely man,Need a helding hand,Yeah,yeah,So back this train up,That all you gotta do now,I`ll never forget the,Girl I left behind,Her tears, her kiss,Her face stay on my mind,I got to make her say,That she`ll forgive me,I gotta get back, so, ohh,Baby, baby, baby, baby,I need, I need your,Loving right now, darling
,
,
",,
,"Al Green,Living Colour,Thelma Houston,Love and Happiness", Love and Happiness,"Love and happiness (yeah),Something that can make you do wrong,Make you do right,Love...,Love and happiness,(Wait a minute),Something's going wrong,Someone's on the phone,Three o'clock in the morning,Talking about how she can make it right (well),Happiness is when you really feel good about somebody,There's nothing wrong,Being in love with someone,(Yeah. Oh baby),Love and happiness,(Love and happiness),Love and happiness,(Love and happiness),(Have to say),Love and happiness,(Love and happiness),Love and happiness,(Love and happiness),You be good to me,I'll be good to you,We'll be together,We'll see each other,Walk away with victory,(Oh baby),Love and happiness,(Love and happiness),Love and happiness,(Love and happiness),(Hey hey hey),Make you do right,Love'll make you do wrong,Make you come home early,Make you stay out all night long,The power of love,(Wait a minute, let me tell you),The power...,The power of love,The power...,The power of love,Make you do right,Love'll make you do wrong,(Love and happiness),(Love and happiness),(Love and happiness),Love'll make you wanna dance and sing (Love and happiness),Make you wanna dance,Love and happiness,Love is...,(Wait a minute),Love is...,Walkin' together,Talkin' together,Singin' together,Prayin' together,Say, I wanna moan, say...,Moan for love, I say...,Let me moan for love, I say...,Wanna moan for love,Talkin' about the power...
,
,
",,
,"Al Green,At Last,Big Mountain,Boyz II Men,Brian Kennedy,Christ Analogue,Craig David,Donny Osmond,Guy Sebastian,Isaac Hayes,Jimmy Smith,Jochen Distelmeyer,Justin Guarini,Leah LaBelle,Lemar,Margie Joseph,Michael Bolton,Michael McDonald,Michelle Williams,Roberta Flack,Robin Thicke,Seal,Shirley Bassey,The Memphis Horns,The Rippingtons,Tina Turner,Trenyce,Number-One Hit,Billboard Hit,Let's Stay Together", Let's Stay Together,"I, I'm so in love with you,Whatever you want to do is all right with me,'Cause you make me feel so brand new,And I want to spend my life with you,Let me say, since (baby),Since we've been together,Loving you forever is what I need,Let me be the one you come running to,I'll never be untrue,Ooh baby, let's, let's stay together,Loving you whether,Whether times are good or bad,Happy or sad,Ooh, yeah,Whether times are good or bad,Happy or sad,Why, somebody, why people break up,And turn around and make up,I just can't deceive,You'd never do that to me, would you baby?,Staying being around you is all I see,Here's what I want us to do,Let's, we ought to stay together,Loving you whether,Whether times are good or bad,Happy or sad,Come on, let's, let's stay together,Loving you whether,Whether times are good or bad,Happy or sad
,
,
",,
,Al Green, I Can't Get Next To You,"I ...(my my my my),I can turn a gray sky blue (you see) ,I can make it rain when I want it to ,I can build a castle from a single grain of sand (you see) ,I can make a ship sail on dry land (children, yeah) ,Unhappy am I with all the powers that I possess ,Girl, you're the key to my happiness ,And I ...,(Can't get next to you, babe) ,Oh Lord,(Can't get next to you) ,I've been trying a long time ,(Can't get next to you, babe) ,(Can't get next to you),I don't know what to do ,(Let me say) ,I .. (my my my my my),I can fly like the bird in the sky ,I can buy anything that money can buy ,I can turn a river into a raging fire,I can live forever if I so desire,Unhappy am I with all the powers that I possess ,Girl, you're the key, 'cause,(Can't get next to you, babe) ,Baby,(Can't get next to you) ,I've been trying a long time ,(Can't get next to you, babe) ,(Can't get next to you), ,(Let me tell you that) ,I can turn back the hands of time ,(You better believe I can ... you see),I can make the seasons change ,Just by waving my hand (let me say) ,I can change anything from old to new (girl),All the things I want to do the most (you see),I'm unable to do ,Unimportant are all these things,That I'm trying to do here today day,Girl, you see,I ...,(Can't get next to you, babe) ,I've been trying a long time,(Can't get next to you) ,Somebody oughta help me ,(Can't get next to you, babe) ,Let me, let me go,(Can't get next to you),Let me!,Lord, I've been working on it, baby ,I've been thinking about it,You see, I've been trying to call you all day long,But, you see, I don't have your phone number, honey ,I've been thinking about you baby, something awful ,Sometime I feel like I want to moan about it ,And I just don't know what to say ,And I say ..
,
,
",,
,Al Green, Sha-La-La (Make Me Happy),"Sha la la la-- la la la,Oh baby,Sha la la la-- la la la,Oh baby,I've been gone so long I know what to do,Oh baby,That I know you don't know what I've been going through,Oh baby,'Cause you make me happy baby, so I can say,Sha la la la-- la la la,I love you,Sha la la la-- la la la,Thinkin' of you,I know you can tell what's on my mind,Oh baby,And I've been feeling this way for such a long time,Ya, baby,Aw, make me happy baby, aw, make me happy, I wanna say,I'm trying, this feeling just won't die,Oh,Sha la la la-- la la la,Make you cry,It's something that just gets down in your bones,Baby,And once I see you I can't leave your love alone,Ya, heh, baby,Aw, make me happy baby, aw, make me happy baby, let me sing,Sha la la la-- la la la,Oh baby,Sha la la la-- la la la,Oh baby...
,
,
",,
,Al Green, You Ought To Be With Me,"Sit right down and talk to me,About how you want to be,You ought to be with me,Yeah, you ought to be with me,Thinking 'bout what people do,Talking 'bout how I love you,Thinking there's nothing to what they say,You're going to be with me anyway,They don't want to see us do,All of the things we want to,You ought to be with me,Hey, you ought to be with me,You don't have to waste my time,If you want to be a friend of mine,You can leave me now and walk away,And turn your back for another day,Let me say it:,Ought to be the kind of girl,That can brighten this old world,And it's hard to see why you and me,Can't be together happily,I'm trying to realize,You being with some other guy,I don't know the reason why,You ought to be with me until I die,(Hey, you ought to be with me until I die),I don't want to waste my time,If you want to be a friend of mine,I want to hold you tight, love you right,Put good feelin' in your night
,
,
",,
,Al Green, Livin For You,"i guess there's no good reason,for livin,but i'll keep on livin for you baby,there's nothin else to do baby,but spend my life holdin and lovin you, aw,aw,aw,if i ask you more than one million times to forgive me,you'd think of a reason why ,that you should make me cry,(don't make me cry baby),walk out and say goodbye, away from me, aw, aw, aw yeah,i'm tired of the bright ideas about leavin me, un huh,when you know you not goin nowhere but here with me,here with me,let me tell you one thing,stop and think of just how good i've been to you baby,please oh,not causin no trouble for you baby,the story just can't be true baby,(just can't be true baby),how can i convince you baby, but just tell you the truth,iiiiiii'm breathing for you, givin for you, waiting for you,let me tell you what i know ,i'm layin for you, prayin for you, workin for you,everyday i don't mind if i tell you that i'm,livin for you, not ashamed i'm givin to you, givin for you,oh my my,playin for you, prayin for you, (workin for you),everything i do i, everything i do i still,do with you, something to do with you,,to do with you,that's why i say i wanna
,
,
",,
,Al Green, Let's Get Married,"Sitting here,Wasting my time for you,And I'm not too crazy,About the idea,Having nothing to do,I'm tired of playing around,A girl in every town, oh,I wanna settle down,And stop fooling around,(Let's get married),I've got to stop fooling around,(Let's get married),Stop fooling around,(Let's get married),You don't believe me,But,(Let's get married),Let me say,I didn't mean to say,All the things I said,Oh, Lord,The way I felt in my heart,It came out that way,Let me tell you one thing,Don't wanna say anything,To drive you away,Let's get married today,(Let's get married),Hey, hey, hey,(Let's get married),(Let's get married),All right,(Let's get married),Let's get married today,Might as well,Might as well,Gonna take you,In my arms and hold you,Take you in my arms,And squeeze you,And take you in my arms,And love you every night,Just make everything,All right, all right,I wanna soothe you, baby,Let me soothe you, baby,I can soothe you, baby,I can wipe all your tears away,Uh huh, wipe all your tears away,Wipe all your tears away,Wipe all your tears away,Hey, hey, hey,You don't believe me,Ow, ow, ow.....
,
,
",,
,"Al Green,Etta James,Michael Jackson,Seal,UB40,Billboard Hit,Here I Am (Come and Take Me)", Here I Am (Come and Take Me),"I can't believe that it's real,The way that you make me feel,A burning deep down inside,A love that I cannot hide,Our love is you and me, baby,That make the world go round,And if keeping you and loving you means ,Layin' all my troubles down,Here I am, baby, come and take me,Here I am, baby, come and take me,Take me by the hand,Show me,Here I am, baby,It always ends up this way,Me begging you every day,A love that I cannot have,You broke my heart into half,Our love is you and me, baby,That make the world go round,Keeping you and loving you means ,Laying all my troubles down,Here I am, baby, come and take me,Here I am, baby, come and take me,Take me by the hand,Show me,Here I am, baby,When I'm down I can always call you,For a helpin' hand,I know you'll do the best you can,But it don't take much for me,Before my cup runs over,All this love inside of me,I believe there's going to be an explosion,You can talk to me (oh, baby),I'm in no hurry ,Tell me all your troubles,And you won't ever have to worry (no),(And one more thing),You just can't trust everybody,Everybody you see (no no),You'll find yourself lost and alone,On a darkened street,Here I am, baby, come and take me,Here I am, baby, would you come and take me?,Take me by the hand,Show me,Take me,Show me, won't you?,Here I am, baby,Take me, won't you?,Teach me,Won't you take me by the hand?,Teach me,Here I am, baby
,
,
",,
,Al Green, Look What You Done For Me,"Now that you're here with me, ,I want to keep you free, ,to do the things that you want to do, ,the joy in life is loving you, ,but now the day has come, ,to let you know where I'm coming from, ,the best of my years will go to you, ,it's the only thing that I can do, ,but these things don't come overnight, ,lovin' you baby, I think I'm right. ,Let me say before I forget, ,lovin' you baby, it's where it's at, ,ya baby, look what you done for me, ,ya baby, you set my heart free, ,oh but I feel, ya... ,Sometimes I wanna leave, but then I say, ,it wouldn't make sense at all, ,anyway, forgive me baby, ,if I do wrong, ,I haven't been a true man for so long, ,let be say before I forget, ,lovin' you baby, it's where it's at, ,ya baby, look what you done for me, ,ya baby, you set my heart free, ,baby, do you wanna, do the thing that you oughta, ,you've been very good for me, ,and that's a fact, I say, ,ya baby, look what you done for me, ,ya baby, you set my heart free, ,oh, no matter, baby... ,what you done for me... ,I got the feelin' that it's gonna... ,ya, look what you done for me...
,
,
",,
