album,singer,song,lyric,written_by,genre
,"
*NSYNC", Selfish,"I just don't understand,Why you running from a good man, baby,Why you wanna turn your back on love,And Why you've already given up,See I know you've been hurt before,But I swear I'll give you so much more,I swear I'll never let you down,'Cause I swear it's you that I adore,And I can't help myself babe,'Cause I think about you constantly,And my heart gets no rest over you,You can call me selfish,But all I want is your love,You can call me hopless, baby,'Cause I'm hopelessly in love,You can call me unperfect,But who's perfect? ,Tell me what do I gotta do,To prove that I'm the only one for you,So what's wrong with being selfish?,Yeah Yeah Yeah,I'll be taking up your time,Till the day I make you realize (realize),That for you their could be no one else,I just gotta have you for myself,Baby I would take good care of you,No matter what it is you're going through,I'll be there for you when you're in need,Baby believe in me,'Cause if love is a crime, hey yeah,Then punish me, I would die for you,'Cause I don't want to live without you,What can I do?,You can call me selfish,But all I want is your love,You can call me hopeless, baby,'Cause I'm hopelessly in love,You can call me unperfect,But who's perfect?,Tell me what do I gotta do,To prove that I'm the only one for you,Why do you keep us apart?,Why won't you give up your heart?,You know that we're meant to be together,Why do you push me away?,All that I want is to give you love,Forever and ever and ever,You can call me selfish,But all I want is your love,You can call me hopless, baby,'Cause I'm hopelessly in love,You can call me unperfect,But who's perfect?,Tell me what do I gotta do,To prove that I'm the only one for you,Selfishly I'm in love with you,'Cause I've searched my soul,And I know that it's you,Selfishly I'm in love with you,'Cause I've searched my soul,And I know that it's you,Selfishly I'm in love with you,'Cause I've searched my soul,And I know that it's you,Selfishly I'm in love with you,'Cause I've searched my soul,And I know that it's you
,
,
",,
,"
*NSYNC, *NSYNC,Aventura,Gone", Gone,"There's a thousand words that I could say,To make you come home, yeah,Oh, seems so long ago you walked away,Left me alone,And I remember what you said to me,You were acting so strange mhhmm,And maybe I was too blind to see,That you needed a change,Was it something I said to make you turn away?,To make you walk out and leave me cold,If I could just find a way,,To make it so that you were right here,,Right now,I've been sitting here,Can't get you off my mind,I've tried my best to be a man and be strong,I've drove myself insane,Wishing I could touch your face,But the truth remains you're...,Gone,Gone,Gone,Gone,Gone,Now,I don't wanna make excuses, baby,Won't change the fact that you're gone no,no,But if there's something that I could do,Won't you please let me know?,Time is passing so slowly now,Guess that's my life without you,And maybe I could change my every day ,But baby I don't want to ,So I'll just hang around,And find some things to do,To take my mind off missing you,And I know in my heart,You can't say that you don't love me too,Please say you do,Yeeaah...,I've been sitting here,Can't get you off my mind,I've tried my best to be a man and be strong,I Drove myself insane,Wishing I could touch your face,But the truth remains you're...,Gone,Gone,Gone,Gone,Gone,What will I do if I can't be with you?,Tell me where will I turn to baby who will I be?,Now that we are apart,Am I still in your heart? ,Baby why don't you see?,That I need you here with me,Oohhh...,I've been sitting here,Can't get you off my mind,I've tried my best to be a man and be strong,I've drove myself insane,Wishing I could touch your face,But the truth remains,But the truth remains,Gone,Gone,Gone,Gone,Gone,But the truth remains you're...
,
,
",,
,"
*NSYNC, *NSYNC", Crazy For You,"Wherever I go, whatever I do,Whenever my heart is crying out for you,Wherever I go, whatever I do,I'm crazy for you,It's not easy to be alone,It's not easy to fall in love,Every night I just get down and pray,That you come my way, yeah,I've never had a girl like you,(Girl like you),I've never known what love could do,Wish you'd come, baby and set me free,I can't let it be, yeah,Wherever I go, whatever I do,Whenever my heart is crying out for you,Wherever I go, whatever I do,I'm crazy for you,I wanna, I wanna rock with you,I'm gonna, I'm gonna make it true,I wanna, I wanna rock with you,I'm crazy for you,I'm waiting for the phone to ring,And all the wonder love should bring,All the things, darling I left behind,Please give me a sign,A little smile would light my life,And a single touch would blow my mind,Girl you know, by now you've got to be mine,Till the end of time,Wherever I go, whatever I do,Whenever my heart is crying out for you,Wherever I go, whatever I do,I'm crazy for you,Wherever I go, whatever I do,My heart is crying out for you,Wherever I go (wherever I go),Whatever I do, I'm crazy for you,I wanna, I wanna rock with you,I'm gonna, I'm gonna make it true,I wanna, I wanna rock with you,I'm crazy for you,Ooh, and I will know,Wherever I go, whatever I do,My heart is crying out for you,Wherever I go (wherever I go),Whatever I do,Wherever I go, whatever I do,(Wherever I go, whatever I do),My heart is crying out for you,Wherever I go (wherever I go),Whatever I do, I'm crazy for you,Wherever I go, whatever I do,My heart is crying out for you,Wherever I go (wherever I go),Whatever I do, I'm crazy for you
,
,
",,
,Ariana Grande, Piano,"I could write a song with my new piano;,I could sing about how love is a losing battle...,Not hard... (it's not hard...) It's not hard... (It's not hard...),It's not hard... (it's not hard...) It's not hard... (It's not hard...),And I could sing about Cupid and a shooting arrow;,In the end, you find out that my heart was battered,Real hard... (Real hard...) It's so hard... (It's so hard...),Real hard... (Real hard...) It's not hard... (It's not hard...),But I'd rather make a song they can play on the radio,That makes you wanna dance - don't it make you wanna dance?,But I'd rather make a song they can play on the radio,That makes you wanna grab your lover's hand...,So hold up and take it through the night,,And you should follow through to make it alright...,Now grab each others' hands, get on up;,I want to see you rock to the piano, the piano...,I could write a song with my new piano;,I could sing about how love is a losing battle...,Not hard... (it's not hard...) It's not hard... (It's not hard...),It's not hard... (it's not hard...) It's not hard... (It's not hard...),And I could sing about Cupid and a shooting arrow;,In the end, you find out that my heart was battered,Real hard... (Real hard...) It's so hard... (It's so hard...),Real hard... (Real hard...) It's not hard... (It's not hard...),But I'd rather make a song they can play on the radio,That makes you wanna dance - don't it make you wanna dance?,But I'd rather make a song they can play on the radio,That makes you wanna grab your lover's hand...,So hold up and take it through the night,,And you should follow through to make it alright...,Now grab each others' hands, get on up;,I want to see you rock to the piano, the piano...,So hold up and take it through the night,,And you should follow through to make it alright...,Now grab each others' hands, get on up;,I want to see you rock to the piano, the piano...,I'd rather tell you about how I'm feeling, boy,,And how I'm doing things my way;,If I got my piano, then I know I'll be okay, baby!,So hold up and take it through the night,,And you should follow through to make it alright...,Now grab each others' hands, get on up;,I want to see you rock to the piano, the piano...,So hold up and take it through the night,,And you should follow through to make it alright...,Now grab each others' hands, get on up;,I want to see you rock to the piano, the piano...,So hold up and take it through the night,,And you should follow through to make it alright...,Now grab each others' hands, get on up;,I want to see you rock to the piano, the piano...,I could write a song with my new piano;,I could sing about how love is a losing battle...,Not hard... (it's not hard...) It's not hard... (It's not hard...),It's not hard... (it's not hard...) It's not hard... (It's not hard...)
,
,
",,
,Aaradhna, Crying Like A Wolf,"Every night I sit by the window,Crying like a wolf cause your love's gone,I didn't mean it when I said that I hate you,Know that I love you,And even if you don't love me anymore,Then I'll just be here, sitting, crying tears on the floor,Forever and ever my heart will always remain with you,And I'll be crying fuck you you you,I'll be crying like a wolf,I'll be crying like a wolf,I'll be crying like a wolf,I'll be crying like a wolf,I'm thinking to myself – who's loving you now?,The thought of another is making me break down,I didn't mean it when I said it's over,Please don't say it's over,And even if you don't love me anymore,Then I'll just be here, sitting, crying tears on the floor,Forever and ever my heart will always remain with you,And I'll be crying fuck you you you,I'll be crying like a wolf,I'll be crying like a wolf,I'll be crying like a wolf,I'll be crying like a wolf,Can you hear the beat of my heart?,Howling at the moon and I hope that you can hear my call,Come back to me,Said come back to me,That's the sound of the beat of my heart, boom boom,Hoping that you will hear my call,I'm howling at the moon, I hope you hear me baby,Hear me baby
,
,
",,
,"
*NSYNC, *NSYNC", You Got It,"Oh, right now baby,As soon as the stars shine,I'm gonna make you mine, oh baby,(You got it, I want it),(I'll do whatever it takes),(You got it, I need it),(Your love is what makes my heart break),Let me tell you how I feel,I need your lovin' girl, give it to me,Never met a girl like you,I know you'll like the crazy things we'll do,(The crazy thing we'll do),Walking slowly through the rain,Without worries there's no pain,When you see a shooting star,All your problems seem so far,If you feel true love and trust,Girl just give me all you got,'Cause girl you got the love I need,(You got it, I want it),(I'll do whatever it takes),Whatever it takes,(You got it, I need it),You got it, I need it,(Your love is what makes my heart break),You are in my dreams at night,Whatever I do, you're always on my mind,I can't wait until the day,When you and me are one in love to stay,Walking slowly through the rain,Without worries there's no pain,When you see a shooting star,All your problems seem so far,If you feel true love and trust,Girl, just give me all you've got,Girl you got the love I need,(You got it, I want it),(I'll do whatever it takes),Whatever it takes,(You got it, I need it),I need it,(Your love is what makes my heart break),You got it, yeah,(You got it, I want it),(I'll do whatever it takes),(You got it, I need it),You got it,Your love is what make my heart break,(Just give me all your love),(Got to have all your love),(Just give me all your love),'Cause your love is what make my heart break,(Got to have your love),(Just give me all your love),(I got to have all your love),(Just give me all your love),'Cause I got what you need, baby,(Got to have your love),(You got it, I want it),(I'll do whatever it takes),'Cause I got to have your love baby,(You got it, I need it),(Your love is what makes my heart break),Give me your love
,
,
",,
,"
*NSYNC, *NSYNC", U Drive Me Crazy,"Absulute horror,Darkness,I can't see,All I see,Lonelyness,Why are you messin' with my mind,You drive me crazy,Why are you tellin' all these lies,You drive me crazy,Stop doing all these things to me,You drive me crazy,'Cause all I want is to be free,I'm feeling weak, I cannot sleep,My head is burning, I feel cold down to my feet,I wanna yell, somebody help,Is there a cure for what I've got,Somebody tell me,I need your lovin' face,I need your sweet embrace,'Cause you are my only medicine,You drive me crazy,Why are you messin' with my mind,You drive me crazy,Why are you tellin' all these lies,You drive me crazy,Stop doing all these things to me,You drive me crazy,'Cause all I want is to be free,You're on my mind I'm so uptight,I feel sensation in my head down to my spine,Going insane, can't stand the pain,Is my condition permanent, somebody tell me,I need your lovin' face,I need your sweet embrace,'Cause you are my only medicine,You drive me crazy,Why are you messin' with my mind,You drive me crazy,Why are you tellin' all these lies,You drive me crazy,Stop doing all these things to me,You drive me crazy,'Cause all I want is to be free,24/7,You're on my mind, I'm going crazy,You are the cure and you know but you don't care,Girl you driving me insane,You can say what you want to,Do what you wanna do,As long as you love me, girl, I won't front you,You're the sweetest thing,Let me be your man,Let me hold your hand,Or let me be your friend,Meanwhile I will set the house,Up on hill,Girl as you know it's all about the dollar-bill,Gonna treat you like a queen,Like a lady,Chica, chico, you drive me crazy...,You're always on my mind,Need you all the time,So come and get with me,'Cause darlin' you're the one I need,Someone to hold me tight,'Cause I can't sleep at night,You are my fantasy,Girl you drive me crazy,You drive me crazy,Why are you messin' with my mind,You drive me crazy,Why are you tellin' all these lies,You drive me crazy,Stop doing all these things to me,You drive me crazy,'Cause all I want is to be free
,
,
",,
,"
*NSYNC", Celebrity,"If I wasn't a celebrity ,Would you be so nice to me,If I didn't have cheese like every day,Would you still wanna be with me,If I couldn't buy you diamond rings,And all those other expensive things,Would you be so into me,If I wasn't a celebrity,(Lately) I've been doing a little thinkin' 'bout the things that satisfy you,It's making me wonder 'bout the things that you see in me,I hate the way you like to say your man's a celebrity,Baby what's the deal, I thought you wanted me for me,(You gotta) say what you mean,(You gotta) mean what you say,('Cause you keep) pushin' me away,'Cause I ain't got no time to play, so I say,If I wasn't a celebrity ,Would you be so nice to me,If I didn't have cheese like every day,Would you still wanna be with me,If I couldn't buy you diamond rings,And all those other expensive things,Would you be so into me,If I wasn't a celebrity,Celebrity, Celebrity, Celebrity, Celebrity (x4),(I'm glad that you) are having a good time livin' the life that I've laid out for me,Constantly splurgin', spending my money on everything you see,See it would be diferent if you had something maybe like a J-O-B,You need to get your thing together, yeah,(You gotta) stop runnin' games ,(Sayin')it ain't about my fame,('Cause you know) if things weren't this way,You'd be gone a long time ago, so I say,If I wasn't a celebrity ,Would you be so nice to me,If I didn't have cheese like every day,Would you still wanna be with me,If I couldn't buy you diamond rings,And all those other expensive things,Would you be so into me,If I wasn't a celebrity,If you really loved me, you'd try and show me it ain't even about my name,But you try to use me, you lie to fool me,So it can never be the same ,So now I'm leaving you behind,I've found somebody who can love me for me,And that's all I need, yeah,Celebrity, Celebrity, Celebrity, Celebrity (x4),If I wasn't a celebrity ,Would you be so nice to me,If I didn't have cheese like every day,Would you still wanna be with me,If I couldn't buy you diamond rings,And all those other expensive things,Would you be so into me,If I wasn't a celebrity (x3)
,
,
",,
,Attack Attack!, The Confrontation,"So when did you decide to take over my life?,To make me a slave and take my family out from under me?,I fought for years because of you!,Taking so many lives to save my own,So if you have a reason, you better speak up now!,It seems you've been hiding all this time,Telling everybody you're their savior,When all you wanted was to take their lives,Do you know all the suffering that I've been through?,All the faces that haunt me?,I'll never be able to sleep again,I lay awake in my bed thinking about what I've done to live,So if you have a reason, you better speak up now!,It seems you've been hiding all this time,Telling everybody you're their savior,When all you wanted was to take their lives,It seems you've been hiding all this time,Telling everybody you're their savior,When all you wanted was to take their lives,This is your last chance, so give me the reason to believe you,You only get one chance, so give me the reason to believe— you!,You!,No more running away!,No more running away!,It seems you've been hiding all this time,Telling everybody you're their savior,When all you wanted was to take their lives,It seems you've been hiding all this time,Telling everybody you're their savior,When all you wanted was to take their— lives!
,
,
",,
,Attack Attack!, The Eradication,"Where do you draw the line?,You think you can walk all over me?,Go ahead and tell the world I'm dead,It won't make a difference,I'm coming to find you,We're all coming to find you,I'm coming to find you,We're all coming to find you,Our time has come,We're taking over,We're done with being patient,No time for second chances,There's nowhere to run,Nowhere to hide,You only have one option,Come out here and face me like a man,I'm coming to find you,We're all coming to find you,I'm coming to find you,We're all coming to find you,Our time has come,We're taking over,We're done with being patient,No time for second chances,So listen up now,We're taking over,We're done with being patient,It's time to take a stand,You think you control me?,Well, I can't be stopped!,I can't be stopped!,This pain is coming to an end!,This pain is coming to an end!,Our time has come,We're taking over,We're done with being patient,No time for second chances,So listen up now,We're taking over,We're done with being patient,It's time to take a stand
,
,
",,
