album,singer,song,lyric,written_by,genre
,Bill Kirchen, If It's Really Got To Be This Way,"If it's really gotta be this way,I can take it, I know,I'll just carry on day to dayb,Until I make it on my own,I'll cry but I'll get by,And I'll forgive you girl, by and by,And I'll forget you someday,If it's really gotta be this way,If this is what you think you need,Then go ahead girl and do it,It doesn't make a lot of sense to me,But if it's what you want, I'll live through it,I'll cry but I'll get by,And I'll forgive you girl, by and by,And I'll forget you someday,If it's really gotta be this way,In my heart,There'll always be a place for you,In my heart,I will always believe,We could've made it, you and me,I'll cry but I'll get by,And I'll forgive you girl, by and by,And I'll forget you someday,If it's really gotta be this way,Yes, I'll forget you someday,If it's really gotta be this way,I can take it, I know,I can make it on my own,If it's really gotta be this way
,
,
",,
,Mallary Hope, Love Lives On,"I reached for you this morning,Woke up with empty arms,Once again ,It's sinking in,How far away you are,I still pour two cups of coffee,And tell you all about my dreams,This kitchen's way too quiet,You should still be here with me,And even though I cry like crazy,Even though it hurts so bad,I'm thankful for the time God gave me,Even though we couldn't make it last,I'm learning how to live without you,Even though I don't want to,And even with you gone,Love lives on,I still call your mom on Sundays,Yeah, it's good to hear her voice,She always tells me that same story,About her stubborn little boy,And I kept your favorite t-shirt,You know, the one I used to hate,Ain't it funny how,It's the one thing now,I just can't throw away,And even though I cry like crazy,Even though it hurts so bad,I'm thankful for the time God gave me,Even though we couldn't make it last,I'm learning how to live without you,Even though I don't want to,And even with you gone,Love lives on,She comes with me on your birthday,Little flowers in her hand,She's always known that somethings missing,But too young to understand,And some day she's gonna ask me,What kind of man you were,I'll tell her all the ways I loved you,And all of you I see in her,And even though I cry like crazy,Even though it hurts so bad,I'm thankful for the time God gave me,And she's the perfect way to make it last,I'm learning how to live without you,Baby I don't want to,But even with you gone,Love lives on,Baby love lives on, love lives on,Oh oh oh oh yeah,I reached for you this morning,Woke up with empty arms
,
,
",,
,Big & Rich, M-E-D-L-E-Y of the Hillbilly Jedi,"In my pocket, my pocket, my pocket,I've got a little rocket, a rocket, a rocket,I took it and I lit it, I lit it, I lit it,And now I'm gonna fly it to the moon,In my pocket, my pocket, my pocket,I've got a little rocket, a rocket, a rocket,I took it and I lit it, I lit it, I lit it,And now I'm gonna fly it to the moon with you,And if you've got a candy machine,won't you make something sweet and good like they do out in Hollywood,Or maybe we could rent a penthouse suite,Don't matter if we got no money,It don't cost nothing to dream,I never told you I could walk on water (walk on water) but if you've got a quarter friends you know I'll give it a try,And if you want to, you can take my hand (you can take my hand),Yeah I bet you can,See you can walk on water with me,I ain't never gonna be afraid to say what I want to say even if it sounds a little crazy,Doobily diddy, Doobily diddy, if I had a nickel every time I tried to tell you that I really wish that you'd be my gal,Then we'd be rolling in the money honey on a beach and it's so sunny while somebody's serving us Champagne,I know it sounds a bit insane but I'm a little bit crazy for your love baby,For your love baby,You've got the sweetest thing but I'm not sure what it is,I know I likes a lot of it every day,I likes that,Doobily diddy, Doobily diddy, if I had a nickel every time I tried to tell you that I really wish that you'd be my gal,Then we'd be rolling in the money honey on a beach and it's so sunny while somebody's serving us Champagne,I know it sounds a bit insane but I'm a little bit crazy for your love baby for your love baby,You've got the sweetest thing but I'm not sure what it is,I know I likes a lot of it every day,I likes that,Doobily diddy, Doobily diddy, if I had a nickel every time I tried to tell you that I really wish that you'd be my gal,Then we'd be rolling in the money honey on a beach and it's so sunny while somebody's serving us Champagne,I know it sounds a bit insaannnnnnne,Let's don't say goodbye,When we leave tonight,Let's just make a toast to all the good times and let's start making plans right now for another big go round,Say see ya later gator but let's don't say goodbye,Don't you know say see ya later gator, let's don't say goodbye
,
,
",,
,Mallary Hope, Blossom In The Dust,"There's a single-wide trailer past the railroad tracks,Old car in the front, weeds in the back,Mama had there when she was sixteen years old,Took one look at her and named her Rose,Fragile little Rose had to grow up fast,Between the habit and the job that her mama had,I've never seen a situation half that bad,She's a blossom in the dust,All her colors covered up,Give a rose a little rain,Lots of sun and all your love,And watch her blossom in the dust,We rescued that child in the nick of time,Found a real nice couple 'cross the county line,Who'd been trying to have a little girl of their own,And would give anything to give little Rose a home,That mama-to-be took one look at her,In her tattered flowered dress and her tangled curls,She said that's not just any girl,She's a blossom in the dust,All her colors covered up,Give a rose a little rain,Lots of sun and all your love,And watch her blossom in the dust,Oh, sometimes the only way to overcome a circumstance,Is someone giving someone else a fighting chance,She's a blossom in the dust,All her colors covered up,Give a rose a little rain,Lots of sun and all your love,And watch her blossom in the dust
,
,
",,
,Billy Joe Shaver, Get Thee Behind Me Satan,"Get thee behind me, Satan ,For I command it in the name of the Lord Jesus Christ, of Nazareth,Get thee behind me, Satan ,For I command it in the name of the Lord Jesus Christ,I looked into the mirror and I couldn't see myself,The demons that were in me had turned me wrong side out,I knew inside my soul I was headed straight for hell,But I couldn't for my life figure how to help myself,Get thee behind me, Satan ,For I command it in the name of the Lord Jesus Christ, of Nazareth,Get thee behind me, Satan ,For I command it in the name of the Lord Jesus Christ,The moon and stars were hidden by the shroud that clouded 'round,I could see my loved ones weeping as they lowered me in the ground,No word was spoken over me I almost thought I died,Then I knew I wasn't dead I had been buried alive,Get thee behind me, Satan ,For I command it in the name of the Lord Jesus Christ, of Nazareth,Get thee behind me, Satan ,For I command it in the name of the Lord Jesus Christ,I couldn't see my hand in front of my face,I knew that I was buried in the deepest darkest place,The deeds that I had done put me in this awful place,Then I felt the stir inside me and the smoke came 'cross my face,Get thee behind me, Satan ,For I command it in the name of the Lord Jesus Christ, of Nazareth,Get thee behind me, Satan ,For I command it in the name of the Lord Jesus Christ
,
,
",,
,The Common Linnets, Love Goes On,"Please don't think that I've forgotten,Who you were and are to me,There's a safe place in my heart,There you'll always be with me,Years pass by and we get older,There's so much you didn't see,But your hands still on my shoulder,Much more than a memory,Endless highway bring me home,All I know is that our love goes on,You're in me and in my brothers,Yes and mom still wears your ring,For her there'll never be another,You don't compare to anything,Singing songs while doing dishes,Cracking jokes you filled the room,I miss your laughter and your kisses,That's how I'll remember you,Endless highway bring me home,All I know is that our love goes on,Endless highway bring me home,All I know is that our love goes on,All I know is that our love goes on
,
,
",,
,Big & Rich, 'Cause I Play Guitar,"I like women and I like wine,Smokin' and joking with friends of mine,Loud guitars playing in bars,Groovin' bass lines from my go-fast car,'Cause I love my job and I work real hard,And I get chicks 'cause I play guitar,Don't need to be a big-screen movie star,Or an NFL quarterback throwing so far,Give me neon lights and Saturday nights,A headache in the morning lets me know I'm alive,Yeah I love my job and I work real hard,And I get chicks, 'cause I play guitar,No, I may not be the biggest fish in this town,But some still say that I'm the baddest thing around,Yeah I love my job and I work real hard,And I get chicks, 'cause I play guitar,No, I may not be the biggest fish in this town,But some still say I'm the baddest thing around,I use a beer bottle for a guitar slide,I hang on a note and I twang it all night,I'll bend them strings and light it in flames,Yeah I slide on the stage and I walk on the bar,And I get chicks 'cause I play guitar,Yeah I love my job and I work real hard,And I get chicks 'cause I play guitar
,
,
",,
,Big & Rich, Cheat On You,"You better hope another man don't look her way too long,You better hope he don't do all the things right that you've done wrong,If he comes callin' she'll just turn him down,'Cause she's not the kind of girl that goes runnin' around,But you make her wanna cheat on you,For all the hurtin' that you put her through,She wants to stand by her man but I'm not sure if she can,'Cause you make her wanna cheat on you,She tries to be your everything all the time in every way,She lit the candles, pulled the covers back and put on that lingerie,Then you come walkin' in and you fall into bed,You never say a word or even turn your head,And it makes her wanna cheat on you,For all the hurtin' that you put her through,She wants to stand by her man but I'm not sure if she can,'Cause you make her wanna cheat on you,She's been livin' for a love that keeps letting her down,Looking for a reason just to hang around,You make her wanna cheat on you,For all the hurtin' that you put her through,She wants to stand by her man, I'm not sure if she can,'Cause you make her wanna cheat on you,For all the hurtin' that you put her through,She wants to stand by her man, I'm not sure if she can,'Cause you make her wanna cheat on you,She wants to stand by her man, I'm not sure if she can,'Cause you make her wanna cheat on you
,
,
",,
,Big & Rich, Never Far Away,"It's so dark in here, I can't begin,To find a shred of light, this place I'm in,But even in this cold,I can still find beautiful,'Cause you're never far away,No you're never far away,I close my eyes and then, there you are again,Never far away, never far away,The chill in here, collecting on my skin,Reminds me I'm alive, I gotta try again,And when there's nothing left,I just look inside myself,'Cause you're never far away,No you're never far away,I close my eyes and then, there you are again,Never far away, never far away,Walking through these halls, it wears me down,All these people with their foolish frowns,But when I need to hear, sweet music in my ear,No you're never far away,No you're never far away,I close my eyes and then, there you are again,Never far away, never far away,Never far away
,
,
",,
,The Common Linnets, Give Me A Reason,"You tell me that you can't make up your mind,You've been riding fences all your life,So go ahead and build your own little boat,Won't you tell me if it floats,And if it don't, don't you cry to me,Y'tell me maybe I'd be better off on my own,Just wanna hear me tell you baby that you're wrong,So damned tired of all these constant contradictions,Baby getting your convictions,I can't make up your mind (oh no),So why can't you just look me in the eye,The very least you owe me is goodbye,If you want a hearty,I'd give me a reason to run,If you want a love soul,Give me a reason to ride you home,You're talking of a love for heaven nothing is safe,Leaving you free in your little cave (?),Won't you give me just a little piece of truth,It's less about me and it's more about you,So why can't you just look me in the eye,The very least you owe me is goodbye,If you want a hearty,I'd give me a reason to run,If you want a love soul,Give me a reason to ride you home,So why can't you just look me in the eye,The very least you owe me is goodbye,If you want a hearty,I'd give me a reason to run,If you want a love soul,I'd give me a reason to ride you home (2x)
,
,
",,
