album,singer,song,lyric,written_by,genre
,Belinda Carlisle, Jezebel,"Jezebel... Jezebel...,Ce démon qui brûlait mon cœur,Cet ange qui séchait mes pleurs,C'était toi, Jezebel, c'était toi.,Ces larmes transpercées de joie,,Jezebel, c'était toi... Jezebel, c'était toi...,Mais l'amour s'est anéanti.,Tout s'est écroulé sur ma vie,,Écrasant, piétinant, emportant mon cœur,,Jezebel... Mais pour toi,,Je ferais le tour de la terre,,J'irais jusqu'au fond des enfers.,Où es-tu ? Jezebel, où es-tu ?,Les souvenirs que l'on croit fanés,Sont des êtres vivants,Avec des yeux de morts vibrants encore de passé,Mais mon cœur est crevé d'obsession.,Il bat en répétant,Tout au fond de moi-même,Ce mot que j'aime,,Ton nom...,Jezebel... Jezebel...,Mais l'amour s'est anéanti.,Tout s'est écroulé sur ma vie,,Écrasant, piétinant, emportant mon cœur,Jezebel... Mais pour toi,,Je ferais le tour de la terre,,J'irais jusqu'au fond des enfers,En criant sans répit,,Jour et nuit,,Jezebel... Jezebel...,JEZEBEL...
,
,
",,
,"Belinda Carlisle,Edith Piaf,La Vie En Rose", La Vie En Rose,"Des yeux qui font baiser les miens,,Un rire qui se perd sur sa bouche,,Voila le portrait sans retouche,De l'homme auquel j'appartiens,Quand il me prend dans ses bras,Il me parle tout bas,,Je vois la vie en rose.,Il me dit des mots d'amour,,Des mots de tous les jours,,Et ca me fait quelque chose.,Il est entre dans mon coeur,Une part de bonheur,Dont je connais la cause.,C'est lui pour moi. Moi pour lui,Dans la vie,,Il me l'a dit, l'a jure pour la vie.,Et des que je l'apercois,Alors je sens en moi,Mon coeur qui bat,Des nuits d'amour a ne plus en finir,Un grand bonheur qui prend sa place,Des enuis des chagrins, des phases,Heureux, heureux a en mourir.,Quand il me prend dans ses bras,Il me parle tout bas,,Je vois la vie en rose.,Il me dit des mots d'amour,,Des mots de tous les jours,,Et ca me fait quelque chose.,Il est entre dans mon coeur,Une part de bonheur,Dont je connais la cause.,C'est toi pour moi. Moi pour toi,Dans la vie,,Il me l'a dit, l'a jure pour la vie.,Et des que je l'apercois,Alors je sens en moi,Mon coeur qui bat
,
,
",,
,"Belinda Carlisle,Jacques Brel,Ne me quitte pas", Ne Me Quitte Pas,"Ne me quitte pas,Il faut oublier,Tout peut s'oublier,Qui s'enfuit deja,Oublier le temps,Des malentendus,Et le temps perdu,A savoir comment,Oublier ces heures,Qui tuaient parfois,A coups de pourquoi,Le coeur du bonheur,Ne me quitte pas,Ne me quitte pas,Ne me quitte pas,Ne me quitte pas,Moi je t'offrirai,Des perles de pluie,Venues de pays,Ou il ne pleut pas,Je creus'rai la terre,Jusqu' apres ma mort,Pour couvrir ton corps,D'or et de lumiere;,Je f'rai un domaine,Ou l'amour s'ra roi,Ou l'amour s'ra loi,ou tu serais reine,Ne me quitte pas,Ne me quitte pas,Ne me quitte pas,Ne me quitte pas,Ne me quitte pas,Ne me quitte pas
,
,
",,
,Belinda Carlisle, Contact,"Y en a marabout,Y en a marabout,Y en a marabout,Marabout,Marabout,Marabout,Marabout,Y en a marre,Marabout,Y en a marre,Marabout,Y en a marre,Marabout,Y en a marre,Marabout,Bout d'ficelle,C'est la vie,Vie de chien,Chien de temps,Tant qu'e  faire,Faire les cons,Qu'on se marre,Marabout,Bout d'ficelle,C'est la vie,Vie de chien,Chien de temps,T'en fais pas,Y en a marabout,Y en a marabout,Y en a marabout,Y en a marabout,Marabout,Marabout,Marabout,Marabout,Y en a marre,Marabout,Y en a marre,Marabout,Y en a marre,Marabout,Y en a marre,Marabout,Bout d'ficelle,C'est la vie,Vie de chien,Chien de temps,Tant qu'e  faire,Faire les cons,Qu'on se marre,Marabout,Bout d'ficelle,C'est l'amour,Amour tendre,Entre nous,N'oublie pas.
,
,
",,
,BeFour, A New Generation,"You're the voice of a new generation,And you're coming out so strong,It's your choice can you feel the sensation,You're going one by one,The battle of life, in every sight,Is won you have friends forever,You better believe it, cause can achieve it,As long you are two togheter,Make every step, and take what you get,But don't forget the chance of giving,Yes, you are a young gun, a glorious someone,Let's go and change the world,You're the voice of a new generation,And you're coming out so strong,It's your choice can you feel the sensation,You're going one by one,So let's make history,Together and forever,Let's make history,I feel it's now or never,This song is for you, and it is so true,Just keep it in your heart forever,In every nation, the new generation,Has come to change the world,You're the voice of a new generation,And you're coming out so strong,It's your choice can you feel the sensation,You're going one by one,So let's make history,Together and forever,Let's make history,I feel it's now or never
,
,
",,
,BeFour, Bye Bye Baby,"I can remember the first time I saw you,I can't believe that the magic is gone,You say you're still feeling love, but it's not true,I try to tell you it's all said and done,You say you change, but I'm so sorry baby,I've got one question,what took you so long?,I play for keeps now, and there ain't no maybe,It's hard to tell, so I'll sing you a song,,Bye bye baby, I will see you maybe,Bye bye baby, anywhere somehow,Bye bye baby, someday I'll be waiting,Please don't cry, bye bye,It's been for too long the same sad old story,Don't close your eyes, so you will see the truth,I won't regret what I'm doing,I'm sorry,Our paradise turned into waterloo,The silly game we were playing is over,So please don't tell me I'm doing you wrong,Just try to see there's no reason to glower,It's hard to tell, so I'll sing you a song,Bye bye baby, I will see you maybe,Bye bye baby, anywhere somehow,Bye bye baby, someday I'll be waiting,Please don't cry, bye bye
,
,
",,
,Maria Mena, Growing Pains,"No one will tell you about the limit,They put on how long you can grieve,No one will warn you when you're winning,How heavy a lost love can be,They do not tell you about the friendships,You'll lose once the lights are dimmed down,How humble you'll feel about your past bliss,Once the tables have turned 'round,But I wanna tell you I got through,The hardest of times on my own,I made some mistakes I made a few,But I learned that I am strong,And just because it hurts,Doesn't mean it isn't worth is,And even if it stings,It's just a temporary thing,I'm not saying that changing,Won't cost you love won't make you cry,,But it will all make sense…,When the growing pains subside,Nothing can shield you from the silence,Nights spent on his side of the bed,Praying for help to please stop crying,My life just got turned on its head,They fail to explain how complex love is…,Like why I mostly miss him as a friend,Or how big of a blow, it was for my ego,That she might be better for him…,But I wanna tell you I got through,The hardest of times on my own,I made some mistakes I made a few,But I learned that I am strong,And just because it hurts,Doesn't mean it isn't worth is,And even if it stings,It's just a temporary thing,And no one said that changing,Won't cost you love won't make you cry,,But it will all make sense…,When the growing pains subside,And just because it hurts,Doesn't mean it isn't worth is,And even if it stings,It's just a temporary thing,And no one said that changing,Won't cost you love won't make you cry,,But it will all make sense…,When the growing pains subside
,
,
",,
,BBMak, Always,"And now your face lights up the sky,Somehow I feel thats you're close by,And when I'm happy you can see,I know you're watching over me... Always
,
,
",,
,BBMak, Emily's Song,"You will always be the one that I adore ,Means so much to me but dreams you were before ,It's you Emily to me but dreams you were before ,It's you Emily that makes me write this song ,Your eyes are open wide, but still so much to see ,All that's new to you seems so old to me ,Now I'm far away a minute seems so long ,It's just another day without you ,It's just another day when I'm not there ,I'm going to find a way to be so close to you ,You've got to know how much I care ,It's just another day without you ,It's just another day when I'm not there ,I am going to give my love, my heart, my soul to you ,All this I'll give to you I swear ,Longing to hold you feel you in my arms ,Never let you go far from me for long ,Girl I promise you my feelings are so strong ,Eyes are open wide but still so much to see ,All that's new to you seems so old to me ,When I'm far away a minute seems so long ,If only you could read what's on my mind ,See right through my eyes ,You'd sooner realize ,Chorus
,
,
",,
,Maria Mena, You Deserve Better,"At the end of the day,I'm not proud of the way,I just shut off myself,And left you to yourself,As I look back on, when we first met,I feel guilty, I have regrets,I wasn't kinder to your heart,We never got our clean start,And you deserve better,No song nor a letter,Can't make right all my wrongs,Or rewrite what I've done,I'll save me and you'll save yourself,And we'll be better off with someone else,Save yourself and I'll save me,If you'll save yourself, I'll save me,For us I, I fought myself,Said I was sorry and, and sought help,For every two steps, I took in life,There was always one back, one strike,If I was too much of a task,Why'd you say that you would last,You might've been there physically,But you checked out early,And I deserve better,No poem nor a letter,Can't make right all your wrongs,Or rewrite what you've done,I'll save me and you'll save yourself,And we'll be better off with someone else,Save yourself and I'll save me,If you'll save yourself, I'll save me,And we deserve better,No song nor a letter,Can't make right all our wrongs,Or rewrite what we've done,I'll save me and you'll save yourself,And we'll be better off with someone else,Save yourself and I'll save me,If you'll save yourself, I'll save me
,
,
",,
