album,singer,song,lyric,written_by,genre
,Elvis Costello & Allen Toussaint, Six-Fingered Man,"Six-Fingered Man ,Playing a seven-string guitar ,There are Seven Deadly Sins ,Any one of them can do you in ,Take what you lost from what you win ,It's never enough ,Six-Fingered Man ,Always the first to blow his horn ,His achievements multiply ,Pity half of them seem to be lies ,Always helps to advertise ,It's never enough ,He seems so satisfied ,With a reputation to protect ,Unless he thinks that you're more qualified ,Gets so much of his own affection ,Stares for hours at his reflection ,Long-legged gal walking a very tiny man ,They say that it should be forbidden ,Must be something he has hidden ,Take what you want from what you're given ,Oh, it's never enough ,Six-Fingered Man ,Shaking his fist at everyone ,Couldn't even act his age ,If you put him on a stage ,You might say he's all the rage ,But it's never enough ,Getting his prints on everything ,He's got semi-precious gems ,Glinting in his signet ring ,Needs his fingers and his thumbs ,To help him calculate his sums ,Six-Fingered Man ,Can't be bothered to stir himself ,Sleeps the whole day long or more ,Dreams of someone he adores ,Drains one drink and starts to pour ,Oh, it's never enough ,Oh, it's never enough ,Oh, it's never enough ,Six-Fingered ,Man Alive! ,How'd I ever get along with five?
,
,
",,
,Elefante, Ahora Que,"Ahora que me quema el frio,,Que no siento tus latidos,,Que el olvido me toco,,Donde guardo lo que siento,,Donde escondo este dolor,,Solo algunas huellas han quedado,,Sueños que tu ahusencia se llevo,Y voy bebiendome el olvido,Enborrachando el corazon,Para intentar sentirme vivo,Pa arrancarme este dolor,Y voy bebiendome el olvido,Engañando la razon,Para sentir que no te has hido,Pa que no duela esta cancion,Ahora que no estas conmigo,Que me encuentro tan perdido,Que el silencio me abrazo,,Donde guardo lo que siento,Donde pongo tus recuerdos,,Donde escondo este dolor,,Solo algunas huellas se han quedado,,Sueños que tu ausencia se llevo,Y voy bebiendome el olvido,Enborrachando el corazon,Para intentar sentirme vivo,Pa arrancarme este dolor,Y voy bebiendome el olvido,Engañando la razon,Para sentir que no te has hido,Pa que no duela esta cancion,Y voy bebiendome el olvido,Engañando la razon para sentir,Que no te has hido para,Que no duela esta cancion
,
,
",,
,Elton John, Postcards from Richard Nixon,"We heard Richard Nixon say, ""Welcome to the USA"",The common sense I sometimes lack,Has opened up a seismic crack,We've fallen in and I can't pull back,In open arms we put our trust they put us on a big red bus,Twin spirits soaking up a dream,Fuel to feed the press machine,After years that were long and lean,And Richard Nixon's on his knees he's sent so many overseas,He'd like to know if you and me could help him in some way,A little camouflage and glue to mask the evil that men do,A small diversion caused by two,Pale kids come to play,And we heard Richard Nixon say, ,Neither of us understood the way things ticked in Hollywood,We just loaded in and grabbed the bat,With little room to swing a cat,And pretty soon we were where it's at,And all around us suntanned teens, beauty like we'd never seen,Our heroes led us by the hand,Through Brian Wilson's promised land,Where Disney's God and he commands,And Richard Nixon's on his knees he's sent so many overseas,He'd like to know if you and me could help him in some way,A little camouflage and glue to mask the evil that men do,A small diversion caused by two,Pale kids come to play,And we heard Richard Nixon say, ,In a bright red Porsche on Sunset I saw Steve McQueen,I guess he's just about the coolest guy I've ever seen,And for you and me that speeding car is how it's going to be,I see no brakes just open road and lots of gasoline,Oh we heard Richard Nixon say, ""Welcome to the USA"",The common sense I sometimes lack,Has opened up a seismic crack,We've fallen in and I can't pull back,Pale kids come to play,And we heard Richard Nixon say, ,
,
,
",,
,"Electric Light Orchestra,Chuck Berry,Roll Over Beethoven", Roll Over Beethoven,"Gonna write a little letter, gonna mail it to my local D.J.,Well, it's a jumping little record I want my jockey to play,Roll over Beethoven, gotta hear it again today,You know, my temperature's rising, need a shot of rhythm and blues,Well, my heart's beating a rhythm, shakin' out rhythm and blues,Roll over Beethoven, rockin' in two by two,Well, if you feel you like it,Go get your lover and reel and rock it,Roll it over and move on up now,Go for cover and reel and rock it,Roll it over,Roll over Beethoven, tell Tchaikovsky the news,Well, early in the mornin' I'm a-givin' you the warnin',Don't you step on my blue suede shoes,Hey, diddle diddle, gonna play my fiddle,I ain't got nothing to lose,Roll over Beethoven, tell Tchaikovsky the news,Well, she wiggles like a glow-worm, she dances like a spinning top,Yeah, she got a crazy partner, you should have seen her reel and rock,Long as she got a dime, the music will never stop,Well, if you feel you like it,Go get your lover and reel and rock it,Roll it over and move on up now,Go for cover and reel and rock it,Roll it over,Roll over Beethoven, dig these rhythm and blues?,Roll over Beethoven, roll over Beethoven,Roll over Beethoven, roll over Beethoven,Roll over Beethoven, dig these rhythm and blues?,Roll over Beethoven, roll over Beethoven,Roll over Beethoven, roll over Beethoven,Roll over Beethoven, dig these rhythm and blues?,Roll over Beethoven, roll over Beethoven,Roll over Beethoven, roll over Beethoven,Roll over Beethoven, roll over Beethoven
,
,
",,
,Pere Ubu, Texas Overture,"Wild flowers and gravel pit towers,Pecan smoke two meat barbecue,Shotgun shack by the roadside...,Blacktop Texas is everything it will be,Loop road tornados, hand grown tomatoes,Post Office Lady, Flatonia Next Right,Two horses nodding at a leafless tree,Waiting in vain to be taken from the rain,The Black Sky crow is walking on the road,Walking on the road,Pine Forest Cablevision,Apartment Now Leasing,Pop-a-Top Beverage & Bait Barn,Fireworks - Buy One Get Five Free,Texas is the land of the free,Kreuz's is the king on the Lockhart rail line,A hall full of trestle tables,Fat soaked butcher paper,Beans sauerkraut soda pop beer,Rough paper hand towels in a roll on a stick sitting,Upright on every table in the joint,Water fountain bags of chips german 'tata salad,Jalapenos in a brown bowl,The fires in the pit have never been put out,An old Texas lady slicing beef brisket,Faded floral print dress covered by an apron,Is that enough? she says,She knows,No, I say, more please,Butcher paper one knife no fork white bread,Vegetarians exit now please,Texas is the land of the free,No Teeth Barbecue, Rockdale, Texas,The man in the window watches crop dusters next door,If I lived in Hutto I'd nearly be home now,,Out among the farm roads,,Heading for the county line,,Looking for the water towers, bringing in the sheaves,Texas is the land of the free,Thelma's in Houston is closed on Sunday,The best catfish in all the state of Texas,The meat's pulled from the pit at the stroke of noon,The line grows long in a shack in an urban field,Sitting in the shadows of the chrome,Man in a big hat born into a black suit says, ,Pass a menu if you would please,One slab of ribs, one pound any Meat,Whole chicken 1/2 chicken ham ribs links beef,Green beans pinto beans tata salad cole slaw,Okra dirty rice or yams,Two slices white bread sealed in a Ziploc,Peach sweet potato apple/lemon chocolate butter pie,Cheese peppers soda or tea,Texas is the land of the free,Salt Lick in Driftwood is no beer family style,3 meat platter bowl of beans slaw tata salad,Onions pickles two slices white bread Texas style,Order in order out order online,Order by mail fax toll free anytime,The waitress is a middle age ex-hippie chick ,Who's found her a life in a hill country family schtick,Honey you will not leave eating only that much,Bottomless refills more meat more beans whole lotta slaw please,Texas is the land of the free.
,
,
",,
,Pereza,Señor Kioskero,"(oiga señor tiene cambio de 100),Hola señor kioskero,Vengo en busca de su dinero,Ponga las manos arriba,Y presteme mucha atencion,Mi familia no tiene trabajo,Y yo trabajar no quiero,Por eso ponga el dinero en esta bolsa por favor,Señor kioskero!,Yo no vine a hacerle daño solo que antes de irme,Primero quiero llevarme ese dinero,Que todo esto asalto trabo,Y si algun dia puedo y quiero,Y en la vida tengo mucha suerte prometo que este dinero voy a venirselo a traer,Señor kioskero trabajar no quiero x 4,Auuuuuu yeah!!
,
,
",,
,Pereza,Llévame Al Baile,"Voy buscándome la vida,Buscándote en mis planes,Cogiendo altura, dejando señales,Y puedo bajar el telón,Pero no me sale...,O llamar a algún matón,Que te lleve de calle.,Ojos que no ven mas allá,Llévame al baile,Que nos vean caminar por el alambre,Dime que te cuesta decirme: vale.,Voy volviendo a la vida,Soltando lastre,Viviendo al día,Trabajando en traje,Y si... puedo aguantar el tirón,Soy insuperable,O escribir una canción,A ver que sale.,Ojos cansados de mirar,Trás los cristales,No queda noche para más,Que un último baile,Si aún dices: venga,Yo digo: vale,Uhhh llévame al baile,Uhhh llévame al baile,Puedo bajar el telón,Uhhh llévame al baile,Llamar a algún matón,Uhhh llévame al baile,O escribir alguna canción,Uhhh llévame al baile,Que la noche no da más,Uhhh llévame al baile,Uhhh llévame al baile,Uhhh llévame al baile
,
,
",,
,Electric Six, The Band In Hell,"The band in hell,Plays all night long,It's a sold out show,And there is only one song,There is no rhythm,And there is no rhyme,It goes on forever,Until the end of time,And now the devil he plays guitar,And Hitler plays the drums,I'm the man on the microphone,This is what I've become,I'm sorry that,I'm sorry that I love you,I'm sorry I,I'm sorry I am what I am,Another coal on the fire,Now there was once a man,Who walked the Earth with no shoes,He went from town to town,Playing rhythm and blues,And there was love in every note that he played,And there was truth in every word that he sang,He offered those who believed his guarantee,But somehow he missed me,And I'm sorry that,I'm sorry that I love you,I'm sorry I,I'm sorry I am what I am,A damnation to you,I'm sorry,I'm sorry
,
,
",,
,Electric Six, We Use The Same Products,"Ours is not a sweet love,Ours is not a flame that burns like heaven so nice,Don't look in my eyes or I tell you twice,It's really complicated,Ours is not a sweet goodbye,Ours is not a fear that melts like honey and ice,So use your heart like a homing device,And tell it to me later,Suddenly there's no there there,And you're throwin' me another blank stare,'Cause we use the same products for our hair,For our hair,Ours is not a sweet lullabye,Ours is not a dream that falls on innocent eyes,Consider mulling over my sage advice,And get a new computer,Ours is not a home sweet home,Ours is not a street that leads to paradise,So hard to breathe with my balls in a vice,I really should be going,Suddenly neither one of us cares that ,The rules are so unfair,'Cause we use the same products for our hair,For our hair,Ours is not a golden age,Ours is not a time that will be remembered as wise,So hang your heads and watch as it dies,And lose my phone number,'Cause we are made of passing dreams,We are here to entertain a sick diety,To procreate with a demon seed,But I swear it gets better,Suddenly the man upstairs comes down to get some air,And we hope he likes what we've done to our hair,To our hair,One two three four one two three four,One two three four one two three four,One two three four one two three four,One two three four one two three four
,
,
",,
,Berman, Rain,"Rain like, its been too long ,like its always been away ,rain like, like a new cloud ,bleeding night into grey ,bring all or nothing ,short of 40 nights and days ,or show me a mile away ,and rain til you cant remember earth ,til my feet cant feel the dirt ,and my eyes see a mile away ,til my feet can feel the sand ,and i close my selfish hands ,and pray that you wash it away ,brake once and i spin twice ,gripping my last grain of sand ,mixed with one tear, and with two drops ,of sweat on which i stand ,flashlights like a sunbeams ,take me off this soiled land ,and show me a mile away ,and rain til you cant remember earth ,til my feet cant feel the dirt ,and my eyes see a mile away ,til my feet can feel the sand ,and i close my selfish hands ,and pray that you wash it away
,
,
",,
