album,singer,song,lyric,written_by,genre
,Barry White, Under The Influence Of Love,"Under the Influence of Love,Walkin' on a cloud,Feeling high,It happens every time,Whenever I'm with my guy,Tripping on love,And it feels so good,I can't help myself,And I wouldn't think I could,Plus he's got that certain drive,That I'm a victim to,Love's really got a hold on me,And there's nothing that I'd rather do,Oh, I'm right Under The Influence Of Love,And, I know there ain't no doubt about it,I'm Under The Influence Of Love,And I know I just can't live without it,Need another dose,Can't get enough,I've just got to have,All of my baby's love,And, when I'm alone,Feeling sad and blue,He gives me a shot of love,And I'm as good as new,Helpless as I am,Ask me, I don't care,His tenderness is what I miss,Whenever he's not here,Oh, I'm Under The Influence Of Love,And, I know there ain't no doubt about it,I'm Under The Influence Of Love,And I know I just can't live without it,There just ain't no one else,Who can bring out the love in me,So many guys have tried,They've tried to catch my eye,But he's the only one I see,Oh, I'm Under The Influence Of Love,And, I know there ain't no doubt about it,I'm Under The Influence Of Love,And I know I just can't live without it,Oh, I'm Under The Influence Of Love,And, I know there ain't no doubt about it
,
,
",,
,Babyface, Shower The People,"You can play the game and you can act out the part,Though you know it wasn't written for you,But tell me how can you stand there with your broken heart,Ashamed of playing the fool,One thing can lead to another,It doesn't take any sacrifice,Oh, father and mother, sister and brother,If it feels nice, don't think twice just,Shower the people you love with love,Show them the way that you feel,Things are gonna work out fine if you only will,Shower the people you love with love,Show them the way that you feel,Things are gonna be much better if you only will,You can run but you cannot hide,This is widely known,And what you plan to do with your foolish pride,When you're all by yourself alone,Once you tell somebody the way that you feel,You can feel it beginning to ease,I think it's true what they say about the squeeky wheel,Always getting the grease, Oh,CHO: Shower the people you love with love,Show them the way that you feel,Things are gonna work out fine if you only will,Shower the people you love with love,Show them the way you feel,Things are gonna be much better if you only will, Oh, No, Oh, no,Shower the people you love with love Show them the way that you feel.,They say in every life,They say the rain must fall, oh,And just like the pouring rain,Make it rain,Make it rain,Love, love, love is sunshine, oh,Make it rain Make it rain
,
,
",,
,B5, Things I Would Do,"Yea, b5.,These are things I'd do for you,baby,First imma stop and get myself a brand new whip and,Make sure its sittin on something big so it can dizz in,Hit the atm, get my pockets wet,So I could get her anything she wants,I got big plans fo' sho,Pleasing you thats my goal,Aint used to this kinda stuff,I'm doing it just because,Cuz im all in love,The things I would do for my girl,Give up all the ladies,I been seeing lately,You'd be my only baby,The things I would do for my girl,Take you to the hot spots,Pull up in the soft tops,Watch when all they eyes drop,The things I would do for my girl,I know them other players,Weren't really there for you,So come and get wit this,I'm gonna take good care of you,{So here we go} my girl,{Just let em know} your my girl,These are the things I would do,For my - the things I would do for my girl,Im gon cop you them new goods,Aint nobody got yet,Make sure its fittin nice n dice so,I can see it,Takin you on the road,Come through at all my shows,Make you the main girl in my videos,I got big plans for sho,Pleasing you thats my goal,Aint used to this kinda stuff,I'm doing it just because,Cuz I'm all in love,The things I would do for my girl,Give up all the ladies,I been seeing lately,You'd be my only baby,The things I would do for my girl,Take you to the hot spots,Pull up in the soft tops,Watch when all they eyes drop,The things I would do for my girl,I know them other players,Weren't really there for you,So come and get wit this,I'm gonna take good care of you,(So here we go) my girl,(Just let em know) your my girl,These are the things I would do,for my- the things I would do for my girl,Wake you up in the middle of the night,Come through, say im wrong in a ,Middle of the fight,Say I love you with a kiss on the forehead,More red roses,Plus you gotta see where my home is,No love for the fiends tryna temp me,South beach breeze to crease to the Bentley,Hold hands talk about my dreams,And make your plans,Anything you want,,Put it on your man,Tell me all about the things you like,I wanna be the one to treat you right,I wanna be the one to come when you call,Drop funds at the mall,Wanna be the one to freak you right {freak you right},Everything I would do for you,Every move I'd move for you,Every song I sing,We could talk about a ring,But first I got things I gotta prove to you,{Patrick - Chorus til' fade}
,
,
",,
,Afromental, Bananowy Song,"Kiedy budzę się po prostu dziarski chwat,A za oknem znów po prostu smutny świat,Zazwyczaj wtedy w myślach się wybieram,Na piękną wyspę istną dzicz,Dech zapiera taka piękna jest,Po prostu rzekłbyś kicz,O no no no no no no no,...,Hamak zwalnia mi leniwej myśli tok,Gdzieś na niebie śpi leniwiec wznoszę wzrok,Ptakowi z blachy gdzieś tam w brzuchu burczy,Po prostu połknął ludzi tłum,Ja tu słyszę ten beztroski śpiew,I morza cichy szum,O no no no no no no no i morza cichy szum,...,Bananowy jest po prostu żywot mój,Tańczy wokół nie piękności śniadych rój, śniadych rój,Bananowy jest po prostu żywot mój x2,to zywot mój nie piękności śniadych rój x2,Czasami w rytm muzyki mnie wachlują,i zataczają w transie kąt,tak je ujął aż banalny wręcz,Nasz bananowy song,o no no no no no no no no no no no no no no no no no,...,Bananowy song, bananowy song, bananowy song,bananowy jest po prostu żywot mój,...
,
,
",,
,Tatiana Okupnik, On My Own,"Baby when you close to me,I feel like I can't breathe,You got this thing about you,Makes me wanna get with you ,It's your eyes it's your smile it's your touch ,UUU baby can't you see,The though about you kissing me,Boy you know what really really really turns me on,You inspire my desires so I wrote this song.,Ref,All I wanna do with you Pls don't tell them,If you won't tell boy I won't tell,Just keep it on the low,All I wanna do with you Pls don't tell them,If you won't tell boy I won't tell,Just keep it on the low.,You give me butterflies ,And that's the reason why I'm so shy ,You know I can't deny,I wanna taste your lips,And that's my only alibi,Take me places no one knows ,All alone in cognito,Get there fast and take it slow ,Make me say boy I want more. ,Ref,All I wanna do with you Pls don't tell them,If you won't tell boy I won't tell,Just keep it on the low.
,
,
",,
,Tatiana Okupnik, Keep It On The Low,"Baby when you close to me,I feel like I can't breathe,You got this thing about you,Makes me wanna get with you ,It's your eyes it's your smile it's your touch ,UUU baby can't you see,The though about you kissing me,Boy you know what really really really turns me on,You inspire my desires so I wrote this song,Ref,All I wanna do with you Pls don't tell them If you won't tell boy I won't tell,Just keep it on the low,All I wanna do with you Pls don't tell them If you won't tell boy I won't tell,Just keep it on the low,You give me butterflies ,And that's the reason why I'm so shy ,You know I can't deny,I wanna taste your lips,And that's my only alibi,Take me places no one knows ,All alone in cognito,Get there fast and take it slow ,Make me say boy I want more ,Ref,All I wanna do with you Pls don't tell them If you won't tell boy I won't tell,Just keep it on the low
,
,
",,
,Afromental, Oh Oh,"Macie tak jak my powody by,Przed siebie iść gdy wiatr wam wieje w twarz.,Mając tyle możliwości, których nie ograniczy czas.,Macie wszystko to co potrzebne jest wam,Lecz korzystać tego nie umiecie.,Ciągle chcecie więcej, ciągle chcecie prędzej,,Lecz zatrzymajcie się bo właśnie ważne jest to ooo,Oh, oh, oh, oh,Oh, oh, oh, oh,Tak ciesząc się radością życia,Oo,ooo,Mamy tak jak wy, powody by,Przez życie iść gdy wiatr nam wieje w twarz.,Mamy możliwości, których nie ograniczy czas, ta, ta,Mamy wszystko to co potrzebne jest nam,I bierzemy życie jakim jest.,Nic nie chcemy więcej, nie, wszystko czas przyniesie.,Najważniejsze jest, że mamy właśnie to,,Wiesz co? słuchaj:,Oh, oh, oh,,Oh, oh, oh,Tak ciesząc się radością życia,Oo, ooo,Oh, oh, oh,,Oo, ooo,Tak ciesząc się radością życia.
,
,
",,
,Tatiana Okupnik, Don't Hold Back (Find Your Way),"You got to find your way,Don't hold back,You got to find your way,Don't let them bring you down,Don't let them steal your dream,You've got the right to be exactly,Who you really wanna be,Don't let them tell you what to say,Or what to do or who to be,Cause you've got only,One life to life,Sometimes it ain't so easy,To trust in what you feel,Hold on to what is real,When the fight is gone,Got to keep your head up high,Keep reaching for the sky,Left the love from deep inside,Keep you growing strong,Don't hold back,You got to find your way,Don't hold back,You got to find your way,Don't hold back,You got to find your way,Don't hold back,You got to find your way,It's time to be yourself,It's tell you to tell yourself,You're big and strong enough,To make it happen your way,Wake up and take a chance,To breath to dance to live to feel,To see the beauty,Don't be afraid,Sometimes it ain't so easy,To trust in what you feel,Hold on to what is real,When the fight is gone,Got to keep your head up high,Keep reaching for the sky,Left the love from deep inside,Keep you growing strong,Don't hold back,You got to find your way,Don't hold back,You got to find your way,Don't hold back,You got to find your way,Don't hold back,You got to find your way,Never give up on love,It will guide you,Like the river flowing swiftly to the sea,No never give up on love,No matter you do,And the rhythm of your heart,Will set you free
,
,
",,
,Afromental, I've got what you need,"when i look at your body i see,you're really attractive baby girl yeah baby girl yeah.,you're lookin' by me by me i'm findin compash and startin',don't you know girl?,when you mess around me makes me go crazy,i'm tryin' to keep up but still i'm kinda lazy,you're next to me pretending to be a queen,you're going by livin now still lookin' at me girl,i've got what you need but if you don't it cry,is no fuckin tonight baby girl,so do what you get or you do what is right,it's your decision it's your time,babe,you see my smile and moving quicker,maybe you think that i'm a love seeker,but i want you now for them gold-diggers to look and that you wondering can [?],every move that you make,everytime that you look at me,every smile that i see makes me think of my fantasies,i'll be by your side,we both gettin down,but it turn around to pay with another girl,i've got what you need but if you don't it cry,is no fuckin tonight baby girl,so do what you get or you do what is right,it's your decision it's your time
,
,
",,
,Afromental, Gangsta's Girl,"Łozina:,I didn't think it was possible,I'm in love with a girl that I barely know oh no,(She's a gangsta'z girl so you better watch out),The girl's mine.,She's got to be when she's around my heart goes out of beat.,(She's a gangsta'z girl so you better watch out),Everytime she passes by I cannot stand the pain,that she's not here with me by my side,She will be here in my arms,Everytime she's there with him I cannot stand the pain,He's the one that holds her hand not me,Without her in my life I cannot be,Tomson:,Hey Buddy, what's going on with ya,I've never seen you like that before,I see this gangsta's gang,I worry bout you man,Couse I know that you are feelin' that way that you gonna fight for this babe,(She's a gangsta'z girl so you better watch out),Watchin' you I'm getting affraid that we'll gonna get killed,couse he's lookin' at you man,It' seems that he's feelin' your game,All the time they're watching you and you're still lookin' at this babe,You know we'll stand up with you man, but is it worth it for some girl,Chorus:,She's a gangsta's girl, She's a gangsta's girl,I need her I want her for all my life till it's over,She's a gangsta's girl, She's a gangsta's girl,Allthought you may love her, you touch her your life it's over. x2
,
,
",,
